Played At,Track,Artist,Album,Popularity,Spotify URL,Album Image
2025-11-06 09:45:40.587000+00:00,Eye Adaba,Aṣa,ASA (Asha) [Deluxe Edition],39,https://open.spotify.com/track/4vd1KAFvJKIe0nFSNslMgf,https://i.scdn.co/image/ab67616d0000b27394c228061e2c2a8b7f6071bc
2025-11-06 09:40:10.857000+00:00,Iba - Digital Bonus Track,Aṣa,ASA (Asha) [Deluxe Edition],39,https://open.spotify.com/track/2TLsA28RE6zOIH7rUd6eo2,https://i.scdn.co/image/ab67616d0000b27394c228061e2c2a8b7f6071bc
2025-11-06 09:36:21.021000+00:00,ADDICTED (feat. The Cavemen.),CKay,EMOTIONS,52,https://open.spotify.com/track/3GiwhPBfi4zqKl1qDPBy1i,https://i.scdn.co/image/ab67616d0000b27361434fff958f4dfab0d187e3
2025-11-06 09:36:11.911000+00:00,FOMDJ,Playboi Carti,MUSIC - SORRY 4 DA WAIT,68,https://open.spotify.com/track/7bO7a1KrtmGNDIOy2u3siZ,https://i.scdn.co/image/ab67616d0000b2736da4ec0bce9baf42436db10a
2025-11-06 07:51:36.014000+00:00,Cannonball (feat. Don Toliver),Lithe,Cannonball (feat. Don Toliver),79,https://open.spotify.com/track/57yu1WujridphAAkPgpkhC,https://i.scdn.co/image/ab67616d0000b273257c60eb99821fe397f817b2
2025-11-06 07:49:36.140000+00:00,Century,EsDeeKid,Century,67,https://open.spotify.com/track/1lJOLxDS8kS2rihrqezMcv,https://i.scdn.co/image/ab67616d0000b2737819612c19b5eb6d66d836bb
2025-11-06 07:47:35.214000+00:00,Tiramisu,Don Toliver,Tiramisu,80,https://open.spotify.com/track/6pDt1F76BKy3ywWg4t8wee,https://i.scdn.co/image/ab67616d0000b273aa1524ad09d29ce6f0e4ad79
2025-11-06 07:45:05.701000+00:00,TOXIC (with Skepta),Playboi Carti,MUSIC,80,https://open.spotify.com/track/4evMMKc2HD6fV9slMfgkMx,https://i.scdn.co/image/ab67616d0000b2736b219c8d8462bfe254a20469
2025-11-05 16:34:35.467000+00:00,Saturday,AntsLive,Real Life,47,https://open.spotify.com/track/7kzR1zNlJimMr3mKcqtrOx,https://i.scdn.co/image/ab67616d0000b273eee6b9b501c314eae8bd8a29
2025-11-05 12:40:37.145000+00:00,Round & Round,Pa Salieu,Afrikan Alien,42,https://open.spotify.com/track/0WSrWfQVotp9IGOSEeqv23,https://i.scdn.co/image/ab67616d0000b2737d71141a396ab0bc12b56ceb
2025-11-05 12:37:03.578000+00:00,Belly,Pa Salieu,Belly,43,https://open.spotify.com/track/3vn014QextPOcH3jyhfFiE,https://i.scdn.co/image/ab67616d0000b27304ae75342acc70c53bc79a1a
2025-11-05 12:24:44.742000+00:00,HOW ARE YOU,Seyi Vibez,HOW ARE YOU,68,https://open.spotify.com/track/3RtoMZxgC3lpyfxmZ29Rpu,https://i.scdn.co/image/ab67616d0000b273ef3f29cd8a81cfabfaeb1efa
