Artist,Genres,Followers,Popularity,Spotify URL,Image
Frank Ocean,,21457505,84,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab
Aṣa,"afro soul, alté, afro r&b, pop soul, neo soul",375353,50,https://open.spotify.com/artist/0upXUo04k4k8bGVSkmgrSc,https://i.scdn.co/image/ab6761610000e5ebc0616b4b93439a0c72f6c864
Brent Faiyaz,r&b,8351072,82,https://open.spotify.com/artist/3tlXnStJ1fFhdScmQeLpuG,https://i.scdn.co/image/ab6761610000e5eb582fbf712f5b6a9bf65d9b84
Mac Miller,,12528657,82,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
Drake,rap,107473705,95,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Kendrick Lamar,"hip hop, west coast hip hop",46636949,89,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",23360074,80,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c
Playboi Carti,rage rap,15831206,85,https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a
J. Cole,rap,27865786,87,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/ab6761610000e5eb492b7b1b9abaa9bb393ab317
Kanye West,rap,32242406,90,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a
Daniel Caesar,,12902618,85,https://open.spotify.com/artist/20wkVLutqVOYrc0kxFs7rA,https://i.scdn.co/image/ab6761610000e5ebe4d94f7cbebb17504c25d419
Seyi Vibez,"afro adura, afrobeats, afrobeat, afropiano, afropop",4795920,72,https://open.spotify.com/artist/4zmZ8lVLzGc84S4v2B1rLx,https://i.scdn.co/image/ab6761610000e5eb9902f473df31601d5938e0bd
Beach House,dream pop,2969357,72,https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY,https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09
ODUMODUBLVCK,"nigerian drill, afrobeats, afrobeat, alté, afropiano, afropop, afro adura",3512339,70,https://open.spotify.com/artist/3LOm0AZjpwVQebvkyanjDy,https://i.scdn.co/image/ab6761610000e5ebc5220e1882a3fd5e34203b97
21 Savage,,24917002,84,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2
Jeremy Zuckerman,,25581,44,https://open.spotify.com/artist/1fbkVAnlEb34awQtWEDa6W,https://i.scdn.co/image/ab6761610000e5eb2de581f91dbdb8116ece5cb3
The Cavemen.,"highlife, alté, afro soul, afro r&b, afrobeats, afrobeat, afropop",162074,50,https://open.spotify.com/artist/1cnBVQulaNSvbind6A0dVD,https://i.scdn.co/image/ab6761610000e5ebb6445926bde38047dc262dda
Westside Gunn,"boom bap, alternative hip hop, jazz rap, experimental hip hop",873137,67,https://open.spotify.com/artist/0ABk515kENDyATUdpCKVfW,https://i.scdn.co/image/ab6761610000e5eb5c37923fb58eead7ad4c0f1f
Tame Impala,"neo-psychedelic, indie",10262804,84,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,https://i.scdn.co/image/ab6761610000e5ebe412a782245eb20d9626c601
Dave,"grime, uk grime, uk drill, drill",7148497,80,https://open.spotify.com/artist/6Ip8FS7vWT1uKkJSweANQK,https://i.scdn.co/image/ab6761610000e5eb2f23c7e361cef62490f44057
